lambda[nm]	Hb[cm-1/uM]	HbO2[cm-1/uM]	Lip[cm-1/mg]	H2O_37°[cm-1/mg]	Collagene_dens_1g/cm3[cm-1/mg]	Bkg[cm-1]
781	0.002430816	0.001646305	2.51E-06	2.60E-05	0.000161613	1
782	0.0023857	0.0016588	2.27E-06	2.57E-05	0.00016111	1
783	0.002339695	0.001670443	2.06E-06	2.57E-05	0.000160853	1
784	0.002295	0.0016827	1.88E-06	2.53E-05	0.00016077	1
785	0.002248592	0.001693283	1.75E-06	2.50E-05	0.000160765	1
786	0.0022044	0.0017039	1.72E-06	2.47E-05	0.000160552	1
787	0.00216123	0.00171277	1.74E-06	2.43E-05	0.00016029	1
788	0.0021225	0.0017223	1.81E-06	2.44E-05	0.000159965	1
789	0.00208546	0.001730906	1.91E-06	2.42E-05	0.000159571	1
790	0.0020511	0.0017408	2.03E-06	2.39E-05	0.000159107	1
791	0.002015319	0.001749819	2.12E-06	2.36E-05	0.000158603	1
792	0.0019798	0.0017592	2.21E-06	2.35E-05	0.000158026	1
793	0.001942804	0.001767217	2.28E-06	2.33E-05	0.000157373	1
794	0.0019084	0.0017776	2.35E-06	2.31E-05	0.000156647	1
795	0.001876048	0.001790459	2.42E-06	2.26E-05	0.000155857	1
796	0.0018489	0.0018108	2.49E-06	2.24E-05	0.000154892	1
797	0.001823988	0.0018359	2.57E-06	2.23E-05	0.000153967	1
798	0.0018015	0.0018586	2.64E-06	2.22E-05	0.000153161	1
799	0.001777561	0.001869962	2.70E-06	2.19E-05	0.000152543	1
800	0.0017539	0.0018789	2.77E-06	2.20E-05	0.000152153	1
801	0.001730078	0.00189144	2.81E-06	2.19E-05	0.000152031	1
802	0.0017128	0.0019065	2.86E-06	2.16E-05	0.000152112	1
803	0.001702553	0.001916658	2.90E-06	2.16E-05	0.000152332	1
804	0.0016972	0.001925	2.95E-06	2.15E-05	0.000152602	1
805	0.001689476	0.001932363	3.01E-06	2.15E-05	0.000152827	1
806	0.0016815	0.0019434	3.07E-06	2.14E-05	0.000152795	1
807	0.00167311	0.001956709	3.15E-06	2.13E-05	0.000152598	1
