<<<<<<< HEAD
lambda[nm]	Hb[cm-1/uM]	HbO2[cm-1/uM]	Lip[cm-1/mg]	H2O_37°[cm-1/mg]	Collagene_dens_1g/cm3[cm-1/mg]	Bkg[cm-1]		
633.0000000000000000	0.0111024842177957	0.0012335999826005	0.0000047000789747	0.0000029012572172	0.0003991551901436	1.0000000000000000		
634.0000000000000000	0.0108929999999897	0.0011797999999988	0.0000047203487202	0.0000029242830681	0.0003982520637521	1.0000000000000000		
635.0000000000000000	0.0107291459933959	0.0011349419971124	0.0000047040630000	0.0000026249470060	0.0003969744897956	1.0000000000000000		
636.0000000000000000	0.0105969999999900	0.0011024999999989	0.0000046082047550	0.0000028321796644	0.0003949112416302	1.0000000000000000		
637.0000000000000000	0.0104500532146926	0.0010789714288393	0.0000044868833148	0.0000027400762607	0.0003924100389189	1.0000000000000000		
638.0000000000000000	0.0103009999999906	0.0010600999999990	0.0000043613557240	0.0000029933606209	0.0003895769129717	1.0000000000000000		
639.0000000000000000	0.0101488857253326	0.0010392079570994	0.0000042538462283	0.0000029933606209	0.0003865534443331	1.0000000000000000		
640.0000000000000000	0.0100049999999909	0.0010176999999991	0.0000041832700000	0.0000031545415774	0.0003834948979588	1.0000000000000000		
641.0000000000000000	0.0098544797278182	0.0009961775249467	0.0000042027111840	0.0000028552055153	0.0003804845412672	1.0000000000000000		
642.0000000000000000	0.0097094999999911	0.0009753799999991	0.0000042590718811	0.0000027861279625	0.0003777270162436	1.0000000000000000		
643.0000000000000000	0.0095589893734704	0.0009534490428238	0.0000043334903016	0.0000032236191302	0.0003753160765912	1.0000000000000000		
644.0000000000000000	0.0094138999999913	0.0009330099999991	0.0000044040080584	0.0000029703347700	0.0003732849190096	1.0000000000000000		
645.0000000000000000	0.0092652155762266	0.0009143150288380	0.0000044499000000	0.0000031545415774	0.0003716020408160	1.0000000000000000		
646.0000000000000000	0.0091298999999916	0.0008989299999992	0.0000044115856940	0.0000029933606209	0.0003700769858331	1.0000000000000000		
647.0000000000000000	0.0090008841520724	0.0008853023912386	0.0000043413188057	0.0000032005932793	0.0003687069663082	1.0000000000000000		
648.0000000000000000	0.0088824999999919	0.0008731399999992	0.0000042532034274	0.0000032005932793	0.0003673520369712	1.0000000000000000		
649.0000000000000000	0.0087571495866642	0.0008601476079842	0.0000041640057020	0.0000031315157265	0.0003658527748446	1.0000000000000000		
650.0000000000000000	0.0086349999999921	0.0008473499999992	0.0000040893580000	0.0000032005932793	0.0003640510204078	1.0000000000000000		
651.0000000000000000	0.0085085911393329	0.0008341982269913	0.0000040777065037	0.0000032236191302	0.0003616559926753	1.0000000000000000		
652.0000000000000000	0.0083874999999924	0.0008215599999992	0.0000040823135167	0.0000033387483848	0.0003587873258008	1.0000000000000000		
653.0000000000000000	0.0082611962904962	0.0008082718022464	0.0000040887030951	0.0000033157225339	0.0003554522427941	1.0000000000000000		
654.0000000000000000	0.0081399999999926	0.0007957699999993	0.0000040801467766	0.0000033848000867	0.0003517011673300	1.0000000000000000		
655.0000000000000000	0.0080146929241386	0.0007834776568565	0.0000040411280000	0.0000032466449811	0.0003476224489793	1.0000000000000000		
656.0000000000000000	0.0078924999999928	0.0007718299999993	0.0000039275546686	0.0000033157225339	0.0003431637913963	1.0000000000000000		
657.0000000000000000	0.0077643115800168	0.0007597794858979	0.0000037800552098	0.0000032696708321	0.0003386908269984	1.0000000000000000		
658.0000000000000000	0.0076449999999930	0.0007497199999993	0.0000036115956274	0.0000036611102979	0.0003343910043279	1.0000000000000000		
659.0000000000000000	0.0075309502589056	0.0007418656832877	0.0000034382703196	0.0000035229551923	0.0003304181411122	1.0000000000000000		
660.0000000000000000	0.0074293999999932	0.0007359099999993	0.0000032764550000	0.0000038222912544	0.0003268724489793	1.0000000000000000		
661.0000000000000000	0.0073274417354753	0.0007293660465713	0.0000031624387428	0.0000038222912544	0.0003237983993562	1.0000000000000000		
662.0000000000000000	0.0072307999999934	0.0007230099999993	0.0000030749770713	0.0000037532137016	0.0003211513702424	1.0000000000000000		
663.0000000000000000	0.0071296180274432	0.0007163650192954	0.0000030110107484	0.0000037762395525	0.0003188355086514	1.0000000000000000		
664.0000000000000000	0.0070319999999936	0.0007101199999994	0.0000029643440246	0.0000036611102979	0.0003167129113638	1.0000000000000000		
665.0000000000000000	0.0069305486395980	0.0007033579546619	0.0000029272880000	0.0000037762395525	0.0003146275510201	1.0000000000000000		
666.0000000000000000	0.0068332999999938	0.0006972199999994	0.0000028755856772	0.0000037762395525	0.0003122057720308	1.0000000000000000		
667.0000000000000000	0.0067320186212605	0.0006911949599818	0.0000028264443460	0.0000037762395525	0.0003096391516681	1.0000000000000000		
668.0000000000000000	0.0066346999999940	0.0006861699999994	0.0000027816485855	0.0000037071619997	0.0003069248353315	1.0000000000000000		
669.0000000000000000	0.0065336934788078	0.0006812291433158	0.0000027438476291	0.0000038453171053	0.0003040896659050	1.0000000000000000		
670.0000000000000000	0.0064359999999941	0.0006769599999994	0.0000027157130000	0.0000038222912544	0.0003011836734691	1.0000000000000000		
